millisecs |yr|mo|da|hr|mi|se|volt   |ampere |watt   
0000018887|21|02|23|10|03|34|039.799|000.044|001.768
0000018987|21|02|23|10|03|34|039.772|000.029|001.178
0000019088|21|02|23|10|03|34|039.783|000.014|000.589
0000019187|21|02|23|10|03|34|039.788|000.014|000.589
0000019287|21|02|23|10|03|34|039.793|000.022|000.884
0000019388|21|02|23|10|03|34|039.793|000.014|000.589
0000019487|21|02|23|10|03|34|039.809|000.029|001.179
0000019587|21|02|23|10|03|35|039.825|000.044|001.769
0000019687|21|02|23|10|03|35|039.809|000.037|001.474
0000019787|21|02|23|10|03|35|039.778|000.037|001.472
0000019887|21|02|23|10|03|35|039.809|000.007|000.294
0000019987|21|02|23|10|03|35|039.809|000.014|000.589
0000020087|21|02|23|10|03|35|039.788|000.022|000.883
0000020187|21|02|23|10|03|35|039.799|000.014|000.589
0000020287|21|02|23|10|03|35|039.783|000.007|000.294
0000020387|21|02|23|10|03|35|039.783|000.022|000.883
0000020487|21|02|23|10|03|35|039.778|000.022|000.883
0000020587|21|02|23|10|03|36|039.809|000.022|000.884
0000020687|21|02|23|10|03|36|039.820|000.044|001.769
0000020787|21|02|23|10|03|36|039.809|000.051|002.063
0000020887|21|02|23|10|03|36|039.799|000.014|000.589
0000020987|21|02|23|10|03|36|039.788|000.014|000.589
0000021088|21|02|23|10|03|36|039.809|000.000|000.000
0000021187|21|02|23|10|03|36|039.793|000.029|001.178
0000021287|21|02|23|10|03|36|039.815|000.044|001.769
0000021388|21|02|23|10|03|36|039.793|000.037|001.473
0000021487|21|02|23|10|03|36|039.788|000.066|002.651
0000021587|21|02|23|10|03|37|039.788|000.051|002.062
0000021688|21|02|23|10|03|37|039.809|000.029|001.179
0000021787|21|02|23|10|03|37|039.783|000.007|000.294
0000021887|21|02|23|10|03|37|039.793|000.029|001.178
0000021988|21|02|23|10|03|37|039.804|000.007|000.294
0000022087|21|02|23|10|03|37|039.783|000.022|000.883
0000022187|21|02|23|10|03|37|039.793|000.044|001.768
0000022288|21|02|23|10|03|37|039.815|000.037|001.474
0000022387|21|02|23|10|03|37|039.788|000.029|001.178
0000022487|21|02|23|10|03|37|039.793|000.029|001.178
0000022588|21|02|23|10|03|38|039.809|000.044|001.768
0000022687|21|02|23|10|03|38|039.815|000.066|002.653
0000022787|21|02|23|10|03|38|039.772|000.022|000.883
0000022887|21|02|23|10|03|38|039.820|000.007|000.294
0000022987|21|02|23|10|03|38|039.767|000.037|001.472
0000023087|21|02|23|10|03|38|039.809|000.014|000.589
0000023187|21|02|23|10|03|38|039.788|000.081|003.241
0000023287|21|02|23|10|03|38|039.783|000.133|005.303
